,rgi_id
8698,RGI2000-v7.0-G-01-00017
8699,RGI2000-v7.0-G-01-00031
8700,RGI2000-v7.0-G-01-00032
8701,RGI2000-v7.0-G-01-00055
8702,RGI2000-v7.0-G-01-00075
8703,RGI2000-v7.0-G-01-00077
8704,RGI2000-v7.0-G-01-00155
8705,RGI2000-v7.0-G-01-00170
8706,RGI2000-v7.0-G-01-00199
8707,RGI2000-v7.0-G-01-00204
8708,RGI2000-v7.0-G-01-00205
8709,RGI2000-v7.0-G-01-00206
8710,RGI2000-v7.0-G-01-00208
8711,RGI2000-v7.0-G-01-00210
8712,RGI2000-v7.0-G-01-00218
8713,RGI2000-v7.0-G-01-00219
8714,RGI2000-v7.0-G-01-00226
8715,RGI2000-v7.0-G-01-00228
8716,RGI2000-v7.0-G-01-00230
8717,RGI2000-v7.0-G-01-00233
8718,RGI2000-v7.0-G-01-00237
8719,RGI2000-v7.0-G-01-00249
8720,RGI2000-v7.0-G-01-00253
8721,RGI2000-v7.0-G-01-00290
8722,RGI2000-v7.0-G-01-00291
8723,RGI2000-v7.0-G-01-00295
8724,RGI2000-v7.0-G-01-00298
8725,RGI2000-v7.0-G-01-00312
8726,RGI2000-v7.0-G-01-00315
8727,RGI2000-v7.0-G-01-00323
8728,RGI2000-v7.0-G-01-00327
8729,RGI2000-v7.0-G-01-00329
8730,RGI2000-v7.0-G-01-00330
8731,RGI2000-v7.0-G-01-00331
8732,RGI2000-v7.0-G-01-00333
8733,RGI2000-v7.0-G-01-00347
8734,RGI2000-v7.0-G-01-00348
8735,RGI2000-v7.0-G-01-00351
8736,RGI2000-v7.0-G-01-00368
8737,RGI2000-v7.0-G-01-00372
8738,RGI2000-v7.0-G-01-00374
8739,RGI2000-v7.0-G-01-00378
8740,RGI2000-v7.0-G-01-00383
8741,RGI2000-v7.0-G-01-00390
8742,RGI2000-v7.0-G-01-00399
8743,RGI2000-v7.0-G-01-00411
8744,RGI2000-v7.0-G-01-00422
8745,RGI2000-v7.0-G-01-00424
8746,RGI2000-v7.0-G-01-00425
8747,RGI2000-v7.0-G-01-00426
8748,RGI2000-v7.0-G-01-00427
8749,RGI2000-v7.0-G-01-00428
8750,RGI2000-v7.0-G-01-00431
8751,RGI2000-v7.0-G-01-00434
8752,RGI2000-v7.0-G-01-00440
8753,RGI2000-v7.0-G-01-00442
8754,RGI2000-v7.0-G-01-00445
8755,RGI2000-v7.0-G-01-00453
8756,RGI2000-v7.0-G-01-00457
