,rgi_id
14594,RGI2000-v7.0-G-07-00002
14595,RGI2000-v7.0-G-07-00004
14596,RGI2000-v7.0-G-07-00006
14597,RGI2000-v7.0-G-07-00007
14598,RGI2000-v7.0-G-07-00008
14599,RGI2000-v7.0-G-07-00009
14600,RGI2000-v7.0-G-07-00010
14601,RGI2000-v7.0-G-07-00011
14602,RGI2000-v7.0-G-07-00012
14603,RGI2000-v7.0-G-07-00015
14604,RGI2000-v7.0-G-07-00016
14605,RGI2000-v7.0-G-07-00018
14606,RGI2000-v7.0-G-07-00019
14607,RGI2000-v7.0-G-07-00020
14608,RGI2000-v7.0-G-07-00021
14609,RGI2000-v7.0-G-07-00022
14610,RGI2000-v7.0-G-07-00023
14611,RGI2000-v7.0-G-07-00031
14612,RGI2000-v7.0-G-07-00032
14613,RGI2000-v7.0-G-07-00037
14614,RGI2000-v7.0-G-07-00038
14615,RGI2000-v7.0-G-07-00039
14616,RGI2000-v7.0-G-07-00040
14617,RGI2000-v7.0-G-07-00042
14618,RGI2000-v7.0-G-07-00044
14619,RGI2000-v7.0-G-07-00045
14620,RGI2000-v7.0-G-07-00046
14621,RGI2000-v7.0-G-07-00052
14622,RGI2000-v7.0-G-07-00053
14623,RGI2000-v7.0-G-07-00054
14624,RGI2000-v7.0-G-07-00055
14625,RGI2000-v7.0-G-07-00056
14626,RGI2000-v7.0-G-07-00057
14627,RGI2000-v7.0-G-07-00058
14628,RGI2000-v7.0-G-07-00060
14629,RGI2000-v7.0-G-07-00061
14630,RGI2000-v7.0-G-07-00062
14631,RGI2000-v7.0-G-07-00063
14632,RGI2000-v7.0-G-07-00064
14633,RGI2000-v7.0-G-07-00065
14634,RGI2000-v7.0-G-07-00066
14635,RGI2000-v7.0-G-07-00069
14636,RGI2000-v7.0-G-07-00070
14637,RGI2000-v7.0-G-07-00072
14638,RGI2000-v7.0-G-07-00073
14639,RGI2000-v7.0-G-07-00074
14640,RGI2000-v7.0-G-07-00075
14641,RGI2000-v7.0-G-07-00081
14642,RGI2000-v7.0-G-07-00082
14643,RGI2000-v7.0-G-07-00083
14644,RGI2000-v7.0-G-07-00084
14645,RGI2000-v7.0-G-07-00085
14646,RGI2000-v7.0-G-07-00086
14647,RGI2000-v7.0-G-07-00087
14648,RGI2000-v7.0-G-07-00088
14649,RGI2000-v7.0-G-07-00089
14650,RGI2000-v7.0-G-07-00090
14651,RGI2000-v7.0-G-07-00091
14652,RGI2000-v7.0-G-07-00092
14653,RGI2000-v7.0-G-07-00093
14654,RGI2000-v7.0-G-07-00094
14655,RGI2000-v7.0-G-07-00101
14656,RGI2000-v7.0-G-07-00102
14657,RGI2000-v7.0-G-07-00103
14658,RGI2000-v7.0-G-07-00106
14659,RGI2000-v7.0-G-07-00107
14660,RGI2000-v7.0-G-07-00111
14661,RGI2000-v7.0-G-07-00114
14662,RGI2000-v7.0-G-07-00116
14663,RGI2000-v7.0-G-07-00117
14664,RGI2000-v7.0-G-07-00118
14665,RGI2000-v7.0-G-07-00119
14666,RGI2000-v7.0-G-07-00121
14667,RGI2000-v7.0-G-07-00124
14668,RGI2000-v7.0-G-07-00125
14669,RGI2000-v7.0-G-07-00126
14670,RGI2000-v7.0-G-07-00128
14671,RGI2000-v7.0-G-07-00129
14672,RGI2000-v7.0-G-07-00130
14673,RGI2000-v7.0-G-07-00132
14674,RGI2000-v7.0-G-07-00133
14675,RGI2000-v7.0-G-07-00134
14676,RGI2000-v7.0-G-07-00135
14677,RGI2000-v7.0-G-07-00137
14678,RGI2000-v7.0-G-07-00138
14679,RGI2000-v7.0-G-07-00139
14680,RGI2000-v7.0-G-07-00141
14681,RGI2000-v7.0-G-07-00142
14682,RGI2000-v7.0-G-07-00143
14683,RGI2000-v7.0-G-07-00149
14684,RGI2000-v7.0-G-07-00153
14685,RGI2000-v7.0-G-07-00154
14686,RGI2000-v7.0-G-07-00155
14687,RGI2000-v7.0-G-07-00159
14688,RGI2000-v7.0-G-07-00161
14689,RGI2000-v7.0-G-07-00162
14690,RGI2000-v7.0-G-07-00163
14691,RGI2000-v7.0-G-07-00165
14692,RGI2000-v7.0-G-07-00167
14693,RGI2000-v7.0-G-07-00168
14694,RGI2000-v7.0-G-07-00170
14695,RGI2000-v7.0-G-07-00171
14696,RGI2000-v7.0-G-07-00172
14697,RGI2000-v7.0-G-07-00173
14698,RGI2000-v7.0-G-07-00175
14699,RGI2000-v7.0-G-07-00176
14700,RGI2000-v7.0-G-07-00179
14701,RGI2000-v7.0-G-07-00180
14702,RGI2000-v7.0-G-07-00181
14703,RGI2000-v7.0-G-07-00187
14704,RGI2000-v7.0-G-07-00188
14705,RGI2000-v7.0-G-07-00197
14706,RGI2000-v7.0-G-07-00198
14707,RGI2000-v7.0-G-07-00199
14708,RGI2000-v7.0-G-07-00200
14709,RGI2000-v7.0-G-07-00201
14710,RGI2000-v7.0-G-07-00202
14711,RGI2000-v7.0-G-07-00203
14712,RGI2000-v7.0-G-07-00204
14713,RGI2000-v7.0-G-07-00205
14714,RGI2000-v7.0-G-07-00206
14715,RGI2000-v7.0-G-07-00208
14716,RGI2000-v7.0-G-07-00209
14717,RGI2000-v7.0-G-07-00210
14718,RGI2000-v7.0-G-07-00211
14719,RGI2000-v7.0-G-07-00213
14720,RGI2000-v7.0-G-07-00214
14721,RGI2000-v7.0-G-07-00223
14722,RGI2000-v7.0-G-07-00224
14723,RGI2000-v7.0-G-07-00225
14724,RGI2000-v7.0-G-07-00226
14725,RGI2000-v7.0-G-07-00229
14726,RGI2000-v7.0-G-07-00238
14727,RGI2000-v7.0-G-07-00241
14728,RGI2000-v7.0-G-07-00243
14729,RGI2000-v7.0-G-07-00244
14730,RGI2000-v7.0-G-07-00245
14731,RGI2000-v7.0-G-07-00246
14732,RGI2000-v7.0-G-07-00247
14733,RGI2000-v7.0-G-07-00248
14734,RGI2000-v7.0-G-07-00249
14735,RGI2000-v7.0-G-07-00250
14736,RGI2000-v7.0-G-07-00251
14737,RGI2000-v7.0-G-07-00252
14738,RGI2000-v7.0-G-07-00253
14739,RGI2000-v7.0-G-07-00254
14740,RGI2000-v7.0-G-07-00255
14741,RGI2000-v7.0-G-07-00256
14742,RGI2000-v7.0-G-07-00257
14743,RGI2000-v7.0-G-07-00258
14744,RGI2000-v7.0-G-07-00259
14745,RGI2000-v7.0-G-07-00262
14746,RGI2000-v7.0-G-07-00264
14747,RGI2000-v7.0-G-07-00265
14748,RGI2000-v7.0-G-07-00266
14749,RGI2000-v7.0-G-07-00270
14750,RGI2000-v7.0-G-07-00271
14751,RGI2000-v7.0-G-07-00272
14752,RGI2000-v7.0-G-07-00274
14753,RGI2000-v7.0-G-07-00278
14754,RGI2000-v7.0-G-07-00281
14755,RGI2000-v7.0-G-07-00282
14756,RGI2000-v7.0-G-07-00283
14757,RGI2000-v7.0-G-07-00288
14758,RGI2000-v7.0-G-07-00289
14759,RGI2000-v7.0-G-07-00290
14760,RGI2000-v7.0-G-07-00291
14761,RGI2000-v7.0-G-07-00292
14762,RGI2000-v7.0-G-07-00293
14763,RGI2000-v7.0-G-07-00294
14764,RGI2000-v7.0-G-07-00295
14765,RGI2000-v7.0-G-07-00296
14766,RGI2000-v7.0-G-07-00297
14767,RGI2000-v7.0-G-07-00299
14768,RGI2000-v7.0-G-07-00300
14769,RGI2000-v7.0-G-07-00302
14770,RGI2000-v7.0-G-07-00304
14771,RGI2000-v7.0-G-07-00306
14772,RGI2000-v7.0-G-07-00307
14773,RGI2000-v7.0-G-07-00308
14774,RGI2000-v7.0-G-07-00309
14775,RGI2000-v7.0-G-07-00310
14776,RGI2000-v7.0-G-07-00312
14777,RGI2000-v7.0-G-07-00313
14778,RGI2000-v7.0-G-07-00314
14779,RGI2000-v7.0-G-07-00315
14780,RGI2000-v7.0-G-07-00316
14781,RGI2000-v7.0-G-07-00317
14782,RGI2000-v7.0-G-07-00320
14783,RGI2000-v7.0-G-07-00321
14784,RGI2000-v7.0-G-07-00322
14785,RGI2000-v7.0-G-07-00323
14786,RGI2000-v7.0-G-07-00329
14787,RGI2000-v7.0-G-07-00330
14788,RGI2000-v7.0-G-07-00332
14789,RGI2000-v7.0-G-07-00336
14790,RGI2000-v7.0-G-07-00337
14791,RGI2000-v7.0-G-07-00338
14792,RGI2000-v7.0-G-07-00340
14793,RGI2000-v7.0-G-07-00341
14794,RGI2000-v7.0-G-07-00342
14795,RGI2000-v7.0-G-07-00343
14796,RGI2000-v7.0-G-07-00352
14797,RGI2000-v7.0-G-07-00354
14798,RGI2000-v7.0-G-07-00355
14799,RGI2000-v7.0-G-07-00356
14800,RGI2000-v7.0-G-07-00358
14801,RGI2000-v7.0-G-07-00359
14802,RGI2000-v7.0-G-07-00361
14803,RGI2000-v7.0-G-07-00365
14804,RGI2000-v7.0-G-07-00367
14805,RGI2000-v7.0-G-07-00369
14806,RGI2000-v7.0-G-07-00370
14807,RGI2000-v7.0-G-07-00373
14808,RGI2000-v7.0-G-07-00374
14809,RGI2000-v7.0-G-07-00376
14810,RGI2000-v7.0-G-07-00378
14811,RGI2000-v7.0-G-07-00379
14812,RGI2000-v7.0-G-07-00383
14813,RGI2000-v7.0-G-07-00386
14814,RGI2000-v7.0-G-07-00387
14815,RGI2000-v7.0-G-07-00389
14816,RGI2000-v7.0-G-07-00390
14817,RGI2000-v7.0-G-07-00391
14818,RGI2000-v7.0-G-07-00392
14819,RGI2000-v7.0-G-07-00393
14820,RGI2000-v7.0-G-07-00396
14821,RGI2000-v7.0-G-07-00398
14822,RGI2000-v7.0-G-07-00401
14823,RGI2000-v7.0-G-07-00402
14824,RGI2000-v7.0-G-07-00403
14825,RGI2000-v7.0-G-07-00404
14826,RGI2000-v7.0-G-07-00406
14827,RGI2000-v7.0-G-07-00408
14828,RGI2000-v7.0-G-07-00413
14829,RGI2000-v7.0-G-07-00414
14830,RGI2000-v7.0-G-07-00415
14831,RGI2000-v7.0-G-07-00416
14832,RGI2000-v7.0-G-07-00417
14833,RGI2000-v7.0-G-07-00418
14834,RGI2000-v7.0-G-07-00419
14835,RGI2000-v7.0-G-07-00420
14836,RGI2000-v7.0-G-07-00421
14837,RGI2000-v7.0-G-07-00422
14838,RGI2000-v7.0-G-07-00427
14839,RGI2000-v7.0-G-07-00429
14840,RGI2000-v7.0-G-07-00430
14841,RGI2000-v7.0-G-07-00433
14842,RGI2000-v7.0-G-07-00435
14843,RGI2000-v7.0-G-07-00436
14844,RGI2000-v7.0-G-07-00439
14845,RGI2000-v7.0-G-07-00442
14846,RGI2000-v7.0-G-07-00443
14847,RGI2000-v7.0-G-07-00444
14848,RGI2000-v7.0-G-07-00445
14849,RGI2000-v7.0-G-07-00446
14850,RGI2000-v7.0-G-07-00448
14851,RGI2000-v7.0-G-07-00455
14852,RGI2000-v7.0-G-07-00456
14853,RGI2000-v7.0-G-07-00457
14854,RGI2000-v7.0-G-07-00459
14855,RGI2000-v7.0-G-07-00461
14856,RGI2000-v7.0-G-07-00462
14857,RGI2000-v7.0-G-07-00463
14858,RGI2000-v7.0-G-07-00464
14859,RGI2000-v7.0-G-07-00465
14860,RGI2000-v7.0-G-07-00468
14861,RGI2000-v7.0-G-07-00469
14862,RGI2000-v7.0-G-07-00470
14863,RGI2000-v7.0-G-07-00471
14864,RGI2000-v7.0-G-07-00472
14865,RGI2000-v7.0-G-07-00473
14866,RGI2000-v7.0-G-07-00475
14867,RGI2000-v7.0-G-07-00476
14868,RGI2000-v7.0-G-07-00477
14869,RGI2000-v7.0-G-07-00478
14870,RGI2000-v7.0-G-07-00479
14871,RGI2000-v7.0-G-07-00481
14872,RGI2000-v7.0-G-07-00484
14873,RGI2000-v7.0-G-07-00486
14874,RGI2000-v7.0-G-07-00490
14875,RGI2000-v7.0-G-07-00494
14876,RGI2000-v7.0-G-07-00496
14877,RGI2000-v7.0-G-07-00498
14878,RGI2000-v7.0-G-07-00499
14879,RGI2000-v7.0-G-07-00502
14880,RGI2000-v7.0-G-07-00503
14881,RGI2000-v7.0-G-07-00504
14882,RGI2000-v7.0-G-07-00505
